                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                 2.7314,                 1.7273,                0.96221,                0.64021,                 0.6297,                0.62621,                0.19141,                 2.6394,                 1.2663,                0.93259,             4.5006e-05,             4.5006e-05,             4.5006e-05
                    114,                 2.7299,                 1.7215,                 0.9599,                0.64573,                0.66741,                0.64301,                0.19688,                 2.5897,                 1.2475,                0.92645,             4.4506e-05,             4.4506e-05,             4.4506e-05
                    115,                 2.7582,                 1.7203,                 0.9544,                0.64384,                 0.6372,                0.62502,                0.18747,                 2.6395,                 1.2761,                0.93141,             4.4006e-05,             4.4006e-05,             4.4006e-05
                    116,                 2.7194,                  1.727,                0.96855,                0.64678,                0.64125,                0.62806,                0.19905,                 2.5829,                 1.2538,                0.92678,             4.3506e-05,             4.3506e-05,             4.3506e-05
                    117,                  2.711,                 1.7061,                0.95396,                0.66049,                0.63612,                 0.6336,                0.19765,                 2.5807,                 1.2499,                0.92391,             4.3006e-05,             4.3006e-05,             4.3006e-05
                    118,                 2.7004,                 1.6987,                0.96015,                0.65803,                0.66253,                0.64369,                0.19797,                 2.5895,                 1.2554,                0.92601,             4.2506e-05,             4.2506e-05,             4.2506e-05
                    119,                 2.6749,                 1.6706,                0.95848,                0.65855,                0.63013,                0.63055,                0.19761,                 2.5983,                  1.264,                0.92653,             4.2006e-05,             4.2006e-05,             4.2006e-05
                    120,                 2.6925,                 1.7234,                0.95983,                0.64331,                0.63366,                0.61985,                 0.1914,                  2.599,                 1.2474,                0.92705,             4.1506e-05,             4.1506e-05,             4.1506e-05
                    121,                 2.6916,                 1.6986,                0.95396,                0.62786,                0.66189,                0.63343,                0.19726,                 2.5703,                 1.2474,                0.92256,             4.1006e-05,             4.1006e-05,             4.1006e-05
                    122,                 2.7019,                 1.6846,                0.95483,                0.63516,                0.67008,                0.64076,                0.19868,                 2.5772,                 1.2432,                0.92447,             4.0506e-05,             4.0506e-05,             4.0506e-05
                    123,                 2.7023,                 1.6857,                0.95448,                0.63789,                0.67646,                0.64404,                 0.1966,                  2.574,                 1.2441,                0.92522,             4.0006e-05,             4.0006e-05,             4.0006e-05
                    124,                 2.7128,                 1.7154,                0.95862,                0.66945,                0.65338,                0.64384,                 0.1977,                 2.5674,                 1.2305,                0.92423,             3.9506e-05,             3.9506e-05,             3.9506e-05
                    125,                 2.7003,                 1.6526,                0.95457,                0.66044,                0.61372,                0.61741,                0.18889,                 2.6333,                 1.2502,                0.93023,             3.9006e-05,             3.9006e-05,             3.9006e-05
                    126,                 2.6827,                 1.6748,                0.95258,                0.65334,                0.68766,                0.65783,                0.19849,                 2.5884,                 1.2305,                0.92536,             3.8506e-05,             3.8506e-05,             3.8506e-05
                    127,                 2.6801,                 1.6797,                0.94707,                0.65239,                0.64456,                0.64574,                0.20043,                 2.5906,                 1.2266,                0.92525,             3.8006e-05,             3.8006e-05,             3.8006e-05
                    128,                 2.6968,                 1.6887,                0.95388,                0.67665,                0.64716,                0.65456,                0.19775,                 2.5952,                  1.226,                0.92639,             3.7506e-05,             3.7506e-05,             3.7506e-05
                    129,                 2.6829,                 1.6744,                0.94724,                0.67991,                0.65462,                0.65639,                0.19726,                 2.6114,                 1.2309,                 0.9277,             3.7006e-05,             3.7006e-05,             3.7006e-05
                    130,                 2.6684,                 1.6389,                0.94591,                0.67877,                0.65991,                0.65274,                0.19668,                 2.5919,                 1.2238,                0.92705,             3.6506e-05,             3.6506e-05,             3.6506e-05
                    131,                 2.6653,                   1.66,                0.95427,                0.65631,                0.65578,                0.64984,                0.19758,                 2.6132,                 1.2398,                0.93095,             3.6007e-05,             3.6007e-05,             3.6007e-05
                    132,                 2.6836,                 1.6658,                0.95179,                 0.6627,                0.67336,                0.65322,                0.20116,                 2.5863,                 1.2332,                0.92836,             3.5507e-05,             3.5507e-05,             3.5507e-05
                    133,                 2.6888,                 1.6412,                0.94282,                0.64074,                0.66365,                0.64406,                0.19504,                 2.6167,                 1.2215,                0.92899,             3.5007e-05,             3.5007e-05,             3.5007e-05
                    134,                 2.6341,                 1.6285,                0.95697,                0.64752,                0.63221,                0.63442,                0.19563,                  2.597,                 1.2172,                0.92595,             3.4507e-05,             3.4507e-05,             3.4507e-05
                    135,                 2.6734,                 1.6428,                0.94811,                0.63241,                0.66394,                0.63693,                 0.1941,                 2.5922,                 1.2291,                0.92538,             3.4007e-05,             3.4007e-05,             3.4007e-05
                    136,                 2.6752,                 1.6434,                0.94156,                0.64422,                0.67819,                0.65342,                0.19853,                 2.5874,                 1.2224,                0.92396,             3.3507e-05,             3.3507e-05,             3.3507e-05
                    137,                 2.6377,                 1.6592,                0.95687,                0.63247,                0.66537,                0.65142,                0.20113,                 2.5869,                 1.2319,                0.92493,             3.3007e-05,             3.3007e-05,             3.3007e-05
